,Cerebral_WM_Left,Cerebral_WM_Right,WM_Hypointensities,Corpus_Callosum,Cortical_GM_Left,Cortical_GM_Right,Thalamus_Left,Thalamus_Right,Caudate_Left,Caudate_Right,Putamen_Left,Putamen_Right,Pallidum_Left,Pallidum_Right,Lateral_Ventricle_Left,Lateral_Ventricle_Right,Third_Ventricle,Fourth_Ventricle,CSF,Hippocampus_Left,Hippocampus_Right,Amygdala_Left,Amygdala_Right,Frontal_Left,Frontal_Right,Parietal_Left,Parietal_Right,Temporal_Left,Temporal_Right,Occipital_Left,Occipital_Right,Brainstem,Cerebellum_WM_Left,Cerebellum_WM_Right,Cerebellum_Cortex_Left,Cerebellum_Cortex_Right
volumes,"[np.int64(167067), np.int64(172950), np.int64(170814), np.int64(171818), np.int64(172337), np.int64(168117)]","[np.int64(186040), np.int64(181535), np.int64(165350), np.int64(165960), np.int64(164146), np.int64(175579)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[np.int64(5323), np.int64(5578), np.int64(5350), np.int64(4861), np.int64(4991), np.int64(5007)]","[np.int64(6188), np.int64(5889), np.int64(5322), np.int64(4802), np.int64(4975), np.int64(4866)]","[np.int64(2772), np.int64(2852), np.int64(3059), np.int64(2511), np.int64(2878), np.int64(2875)]","[np.int64(4121), np.int64(3887), np.int64(2747), np.int64(2252), np.int64(2515), np.int64(2662)]","[np.int64(3927), np.int64(4057), np.int64(4121), np.int64(2774), np.int64(3957), np.int64(3781)]","[np.int64(4169), np.int64(4133), np.int64(3437), np.int64(2409), np.int64(3429), np.int64(3530)]","[np.int64(1043), np.int64(1133), np.int64(1070), np.int64(328), np.int64(974), np.int64(962)]","[np.int64(1071), np.int64(1645), np.int64(1196), np.int64(621), np.int64(1118), np.int64(1155)]","[np.int64(8117), np.int64(6281), np.int64(7363), np.int64(7435), np.int64(8748), np.int64(8274)]","[np.int64(4460), np.int64(3189), np.int64(8744), np.int64(9155), np.int64(11342), np.int64(8913)]","[np.int64(442), np.int64(407), np.int64(1014), np.int64(977), np.int64(1265), np.int64(1155)]","[np.int64(1566), np.int64(1476), np.int64(1439), np.int64(935), np.int64(1405), np.int64(1241)]","[np.int64(144473), np.int64(156356), np.int64(171055), np.int64(159709), np.int64(179726), np.int64(155493)]","[np.int64(3398), np.int64(3434), np.int64(3448), np.int64(3140), np.int64(3355), np.int64(3078)]","[np.int64(3376), np.int64(3514), np.int64(3299), np.int64(2867), np.int64(3043), np.int64(3100)]","[np.int64(1366), np.int64(1353), np.int64(1417), np.int64(1356), np.int64(1361), np.int64(1261)]","[np.int64(1668), np.int64(1607), np.int64(1438), np.int64(1208), np.int64(1474), np.int64(1296)]","[np.int64(19852), np.int64(19543), np.int64(18674), np.int64(18637), np.int64(17477), np.int64(18201)]","[np.int64(20830), np.int64(22299), np.int64(17925), np.int64(18257), np.int64(16738), np.int64(19782)]","[np.int64(12417), np.int64(11687), np.int64(10591), np.int64(11408), np.int64(11092), np.int64(10502)]","[np.int64(11333), np.int64(10636), np.int64(10370), np.int64(10889), np.int64(10608), np.int64(9875)]","[np.int64(10305), np.int64(10172), np.int64(10028), np.int64(10085), np.int64(10347), np.int64(9890)]","[np.int64(12068), np.int64(12214), np.int64(10252), np.int64(10810), np.int64(9915), np.int64(9670)]","[np.int64(10587), np.int64(9938), np.int64(10818), np.int64(8886), np.int64(10825), np.int64(9890)]","[np.int64(10540), np.int64(10063), np.int64(9052), np.int64(8251), np.int64(9078), np.int64(8029)]","[np.int64(18047), np.int64(17744), np.int64(17510), np.int64(17542), np.int64(17644), np.int64(17661)]","[np.int64(10617), np.int64(10190), np.int64(10408), np.int64(10378), np.int64(10148), np.int64(9944)]","[np.int64(10070), np.int64(9630), np.int64(10081), np.int64(9290), np.int64(9783), np.int64(10173)]","[np.int64(39694), np.int64(38286), np.int64(38258), np.int64(32890), np.int64(39044), np.int64(36026)]","[np.int64(38152), np.int64(37859), np.int64(37965), np.int64(33699), np.int64(36793), np.int64(33875)]"
mean_intensity,"[np.float64(269.82171283893103), np.float64(360.33906446608546), np.float64(434.6107880554839), np.float64(407.73890185238747), np.float64(274.2897762081505), np.float64(433.1520866449817)]","[np.float64(238.09682809164948), np.float64(352.75245536051705), np.float64(457.418082705885), np.float64(430.0275315473441), np.float64(264.1550869434564), np.float64(430.749268432928)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[np.float64(248.0186069752967), np.float64(322.4162783289349), np.float64(377.24766420453506), np.float64(380.26354554503376), np.float64(255.3526389523848), np.float64(356.2114615648931)]","[np.float64(267.7617970265029), np.float64(331.0186788928511), np.float64(389.3551296505073), np.float64(398.94852665492465), np.float64(255.14231155778896), np.float64(381.49360453695414)]","[np.float64(214.60497944213955), np.float64(292.86430102879336), np.float64(358.69728988742236), np.float64(383.0532633585077), np.float64(224.0691481769872), np.float64(342.0141551460598)]","[np.float64(197.8645959718515), np.float64(291.5991768215014), np.float64(386.7797594601604), np.float64(405.43095551079165), np.float64(227.2079522862823), np.float64(357.4778647419208)]","[np.float64(246.80595895307252), np.float64(323.67611856439413), np.float64(378.9158011021992), np.float64(411.49258629675813), np.float64(251.8728843131751), np.float64(360.47056272476954)]","[np.float64(184.75293835452146), np.float64(291.29445923058313), np.float64(413.33488483445603), np.float64(442.23096140176244), np.float64(247.193642461359), np.float64(406.2575648148404)]","[np.float64(280.9645248369197), np.float64(354.8852599127989), np.float64(397.35420395325275), np.float64(416.79661764749665), np.float64(283.15810848604235), np.float64(368.5370175367581)]","[np.float64(228.9234360410831), np.float64(330.1969604863222), np.float64(432.90301018654304), np.float64(438.9006090640254), np.float64(278.7826475849732), np.float64(413.0750017438616)]","[np.float64(93.93238122753723), np.float64(139.98760655206814), np.float64(167.08381012576308), np.float64(251.5796648714313), np.float64(90.0761477270244), np.float64(181.7161343431369)]","[np.float64(164.592600896861), np.float64(195.17278208931475), np.float64(169.96603399138874), np.float64(247.33255992495643), np.float64(87.8356550872862), np.float64(185.2366009257156)]","[np.float64(226.5), np.float64(164.7862407862408), np.float64(135.7800788954635), np.float64(213.79783655359898), np.float64(89.18023715415019), np.float64(139.71121557987098)]","[np.float64(92.35632211677873), np.float64(121.31368615892198), np.float64(149.22376650451702), np.float64(229.586110087512), np.float64(90.26120996441281), np.float64(157.03920173491326)]","[np.float64(96.90942881621838), np.float64(156.9084552246603), np.float64(174.03551310805477), np.float64(191.67417760877584), np.float64(81.72494506902713), np.float64(165.3708722704711)]","[np.float64(208.22892059362096), np.float64(269.7303399167647), np.float64(309.3088728092663), np.float64(338.86831012409965), np.float64(212.12100717399585), np.float64(298.12328883933895)]","[np.float64(228.19549763033174), np.float64(294.5088216904286), np.float64(343.3064565019703), np.float64(360.3395764524196), np.float64(214.37594479132434), np.float64(345.65689283309445)]","[np.float64(215.87261957305418), np.float64(268.3274218664289), np.float64(298.7148906139732), np.float64(326.6055315968561), np.float64(220.02278744867846), np.float64(271.7965624307849)]","[np.float64(225.60611510791367), np.float64(283.6838830118233), np.float64(329.1230876216968), np.float64(340.59216619327367), np.float64(216.37449118046132), np.float64(320.1043527626697)]","[np.float64(172.6973129826257), np.float64(273.696564643195), np.float64(329.98002246473874), np.float64(324.2215239126782), np.float64(174.71929166452995), np.float64(334.90017064119013)]","[np.float64(186.51003360098161), np.float64(281.73510015275457), np.float64(331.90410038010344), np.float64(323.7824050707748), np.float64(163.270044222629), np.float64(335.447771883652)]","[np.float64(184.2109859916931), np.float64(273.589627721347), np.float64(317.501828737991), np.float64(310.37092286599136), np.float64(191.0386572647645), np.float64(317.2852902589492)]","[np.float64(203.90602301356336), np.float64(295.20796984987805), np.float64(319.77667016348477), np.float64(317.4203221137798), np.float64(180.36707729271993), np.float64(316.39835321160814)]","[np.float64(199.89963638920162), np.float64(272.10193939223984), np.float64(323.8798289304717), np.float64(338.06994007812256), np.float64(199.74242117315765), np.float64(325.62911137502766)]","[np.float64(201.38117335101094), np.float64(305.5027017701135), np.float64(375.29838058644333), np.float64(391.03449683317314), np.float64(200.18658598083712), np.float64(389.675116383376)]","[np.float64(186.91552789035393), np.float64(278.1764870200461), np.float64(321.32473828228814), np.float64(336.08077441843784), np.float64(183.80940478882118), np.float64(332.3803431941959)]","[np.float64(198.919259456801), np.float64(305.44022640428045), np.float64(348.8010385625403), np.float64(363.21250274458475), np.float64(177.21183079973562), np.float64(358.3347996968174)]","[np.float64(255.32753087701826), np.float64(276.5261494212585), np.float64(325.06681896059393), np.float64(291.3730362693691), np.float64(250.58036726365904), np.float64(295.1767293865687)]","[np.float64(269.260525640822), np.float64(335.90362905740034), np.float64(412.5571653137383), np.float64(384.68849494126886), np.float64(270.29198167640766), np.float64(379.35221536564234)]","[np.float64(277.734260453013), np.float64(351.07144326341734), np.float64(432.5976588170971), np.float64(396.72666692497654), np.float64(276.2964324877085), np.float64(404.83107199819347)]","[np.float64(197.07636887190978), np.float64(265.26291327443374), np.float64(324.25131787490506), np.float64(349.1742741148499), np.float64(196.24211827307352), np.float64(312.0928250377453)]","[np.float64(198.64491838028056), np.float64(270.1262576520536), np.float64(336.77666233685216), np.float64(367.79392707916344), np.float64(202.59201387832505), np.float64(341.1798646200935)]"
std_intensity,"[np.float64(28.43330197396249), np.float64(32.009028157178726), np.float64(39.98063828197886), np.float64(33.14418892911985), np.float64(28.97817785305442), np.float64(43.645785945033055)]","[np.float64(53.35746973834956), np.float64(54.48423809927984), np.float64(60.3056556747445), np.float64(39.532879119585296), np.float64(39.761631590811554), np.float64(67.24512463346223)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[np.float64(31.075446303391438), np.float64(42.425518926787035), np.float64(44.49952719373507), np.float64(37.558460335109636), np.float64(31.045777161765887), np.float64(43.841981271357746)]","[np.float64(27.323509252229453), np.float64(34.94110695477891), np.float64(50.35096441596267), np.float64(39.96285596415156), np.float64(35.45170185627126), np.float64(52.130050619666704)]","[np.float64(34.79038490860374), np.float64(45.21069918832787), np.float64(44.810782742797365), np.float64(42.93718099665348), np.float64(29.91070058271469), np.float64(48.90477019684348)]","[np.float64(31.48434339166445), np.float64(36.52096224479593), np.float64(44.221880638640286), np.float64(46.05891612719808), np.float64(29.697964271821185), np.float64(55.0587308958581)]","[np.float64(20.900553008681754), np.float64(28.645369894247892), np.float64(31.792186979672266), np.float64(20.795751263062044), np.float64(20.488866842701746), np.float64(32.61860651191656)]","[np.float64(31.22973903613492), np.float64(44.99554684828528), np.float64(33.198512821598364), np.float64(25.058827873648795), np.float64(18.82678345526415), np.float64(35.1182681125127)]","[np.float64(16.32999743447851), np.float64(22.8933193041209), np.float64(23.143955479090966), np.float64(12.25583637631958), np.float64(16.636388021834364), np.float64(20.9020730900681)]","[np.float64(21.294689302468655), np.float64(27.908188433555043), np.float64(25.19145320989848), np.float64(22.556066909658263), np.float64(16.309785668542677), np.float64(24.075229337372793)]","[np.float64(42.89739112162781), np.float64(55.16887800086871), np.float64(60.75159391439912), np.float64(54.265569945014406), np.float64(38.1840588948685), np.float64(59.03840146135743)]","[np.float64(51.480578330602235), np.float64(69.11864061913333), np.float64(60.309057358165276), np.float64(56.469679291049076), np.float64(37.25932898804377), np.float64(61.39660299683345)]","[np.float64(36.80585299214838), np.float64(56.867413427611915), np.float64(42.68824140479913), np.float64(31.984774781336032), np.float64(32.32966192616254), np.float64(35.89846034824096)]","[np.float64(37.30995376217728), np.float64(40.703599279207985), np.float64(47.26951650418002), np.float64(34.93170279494268), np.float64(36.21310134269462), np.float64(47.19060938827396)]","[np.float64(60.66898245791592), np.float64(80.41006132818457), np.float64(91.69869984045448), np.float64(96.81651351314115), np.float64(55.95162567453808), np.float64(92.71221066382607)]","[np.float64(38.71758508910568), np.float64(43.07937624280587), np.float64(51.6198484945652), np.float64(39.31096300475114), np.float64(33.08622129329897), np.float64(46.885735321701965)]","[np.float64(24.763914727273285), np.float64(38.68093367321997), np.float64(54.15907091947216), np.float64(43.28540197808197), np.float64(32.72003509173614), np.float64(53.45898822029672)]","[np.float64(26.670532671527553), np.float64(33.350055558940596), np.float64(34.30221712574876), np.float64(27.891259692196428), np.float64(23.5561662605685), np.float64(30.64652842218958)]","[np.float64(23.6262897916724), np.float64(41.633938370638916), np.float64(42.41935171831762), np.float64(33.1308591201126), np.float64(25.15988602724434), np.float64(41.22677560625973)]","[np.float64(32.678203109775794), np.float64(43.304964733019474), np.float64(54.57027783299679), np.float64(52.44364092692224), np.float64(35.58156870451929), np.float64(56.27620626921781)]","[np.float64(27.321864373826592), np.float64(35.43572961995052), np.float64(62.18160361437054), np.float64(50.14492392277794), np.float64(40.86229668910764), np.float64(52.23314649173944)]","[np.float64(40.37189591142675), np.float64(53.449605671776254), np.float64(61.76074386487816), np.float64(63.51150362667087), np.float64(41.36051874853994), np.float64(59.44282328821603)]","[np.float64(34.79882782149164), np.float64(40.23506604499473), np.float64(70.60507639745477), np.float64(64.99882945072456), np.float64(48.18326846507222), np.float64(66.66857159497627)]","[np.float64(34.999026888824204), np.float64(47.06851757717829), np.float64(56.14525978582165), np.float64(32.73110152358324), np.float64(38.7979108029577), np.float64(52.20439261017361)]","[np.float64(31.39408988800336), np.float64(48.93672532067671), np.float64(68.3982549188722), np.float64(40.57601033006333), np.float64(44.06508597415621), np.float64(58.95013015925441)]","[np.float64(34.1232201174935), np.float64(44.51102296886246), np.float64(65.63991964510912), np.float64(44.76885968433653), np.float64(41.13083162227381), np.float64(51.52963435387619)]","[np.float64(29.24116850109068), np.float64(40.345957455233936), np.float64(72.44327336582533), np.float64(53.03127436219264), np.float64(43.942410149111346), np.float64(60.98734143854683)]","[np.float64(64.46372225540061), np.float64(68.33981745449528), np.float64(78.71234700245472), np.float64(65.1628039580646), np.float64(67.84450071629901), np.float64(89.78924342754638)]","[np.float64(42.65400315390809), np.float64(46.727389505008645), np.float64(61.15408711301864), np.float64(46.33349615411972), np.float64(42.769780981030095), np.float64(48.59650727397399)]","[np.float64(37.018680379794795), np.float64(44.99061246706434), np.float64(60.876768697716955), np.float64(45.679580011183376), np.float64(35.5102933613615), np.float64(54.61604183073588)]","[np.float64(55.65924609942538), np.float64(67.29245945883369), np.float64(84.77275151280733), np.float64(67.48897350375543), np.float64(55.459303918745206), np.float64(78.29091251883158)]","[np.float64(57.89512438835211), np.float64(78.02334616829467), np.float64(93.9408213040185), np.float64(67.75298194176531), np.float64(52.648192601656056), np.float64(76.5867780827067)]"
