,Cerebral_WM_Left,Cerebral_WM_Right,Thalamus_Left,Thalamus_Right,Caudate_Left,Caudate_Right,Putamen_Left,Putamen_Right,Pallidum_Left,Pallidum_Right,Lateral_Ventricle_Left,Lateral_Ventricle_Right,Third_Ventricle,Fourth_Ventricle,CSF,Hippocampus_Left,Hippocampus_Right,Amygdala_Left,Amygdala_Right,Frontal_Left,Frontal_Right,Parietal_Left,Parietal_Right,Temporal_Left,Temporal_Right,Occipital_Left,Occipital_Right,Brainstem,Cerebellum_WM_Left,Cerebellum_WM_Right,Cerebellum_Cortex_Left,Cerebellum_Cortex_Right
Cerebral_WM_Left,1.0,-0.5183644807757686,0.055399552501324056,-0.2634164803706483,-0.05286701503217611,-0.3044899243713509,-0.12007455889291542,-0.31424457497454816,-0.17894910416152585,0.1872973334747946,-0.4604827212124487,0.16374602346406059,0.1296729807262136,-0.21734500519073005,0.6313632564580072,0.2393604129316504,-0.10244127862882832,0.35228294099021096,-0.13048922957508327,-0.29206729246985497,-0.22626747679033776,-0.1677267831392634,-0.06465303073079741,0.18400912506820127,0.0013147161576110838,-0.18037298242670702,-0.10297555320693955,-0.5865140070192812,-0.23020960318164785,-0.7042312620172051,-0.16852679826356193,0.049626476039086764
Cerebral_WM_Right,-0.5183644807757686,1.0,0.5811774317649325,0.8038525059992351,-0.04521625597356182,0.9051704909857313,0.30738077766557315,0.7694814567728115,0.4394435588584185,0.45094676973108294,-0.2464682047829627,-0.8782990514275713,-0.8302121970241867,0.5068536656281211,-0.8636036186721472,0.18162178873133428,0.6903875023824545,-0.27470026117292734,0.6528597433522576,0.7975467981978326,0.910374516109953,0.6644128321775529,0.3341566745614745,0.1478929354244564,0.7379870353071895,0.02935062869878491,0.6688065214547917,0.8698446660774344,0.20519770899103718,0.29137835128284945,0.3792035497771575,0.3344179747793917
Thalamus_Left,0.055399552501324056,0.5811774317649325,1.0,0.833569933738919,0.5046467347062726,0.8076108907748741,0.6944251197128513,0.7906024702651326,0.7383594400250547,0.82312896834062,-0.6495926744830351,-0.804798696618457,-0.7585367408302897,0.7635543854813196,-0.2739872662124529,0.7851890928302857,0.97951072626621,0.37825381885953374,0.791680499613888,0.6990679306091485,0.6795705599810495,0.34158918727188875,0.16587886901688675,0.16502782849016198,0.675198358047015,0.4019412107478024,0.7711300679447449,0.38765468463712466,0.2661149975283319,0.2569170637226182,0.6360285551374882,0.8181753274343072
Thalamus_Right,-0.2634164803706483,0.8038525059992351,0.833569933738919,1.0,0.1760108343827871,0.973513672049663,0.5156292255908347,0.8197140286881992,0.5818425933529336,0.5281056373335584,-0.369976257462742,-0.8792182856008889,-0.9070323622101428,0.7716880163875829,-0.5626886729921867,0.706837133884921,0.8756978029580179,0.3349768345395452,0.9153852821414086,0.8587824876447938,0.7139065026235585,0.7546010940237123,0.5874601954239386,0.46521438757906247,0.8605709562446585,0.36953904439590873,0.9579853415288262,0.7968290861853474,0.5709295525977341,0.23990139754574547,0.6729107646581983,0.7961773068608886
Caudate_Left,-0.05286701503217611,-0.04521625597356182,0.5046467347062726,0.1760108343827871,1.0,0.13979900129481498,0.8963092824053241,0.5332976167062753,0.8447005324233494,0.6562866935497735,0.03591331308001563,0.0322957615212498,0.13831952638028408,0.6878742452051808,0.37614092820463985,0.5237156855483441,0.5282450533573879,0.2011923570344447,0.3746387841482173,-0.1459130519497738,-0.05730485823669049,-0.4621492134033312,-0.49489706947380396,-0.11801171167824319,-0.2681310579190266,0.8114643942216042,0.16983340088686968,-0.09742376884320036,-0.21147868930720295,0.7384188150127058,0.6780089704386332,0.5655356942558277
Caudate_Right,-0.3044899243713509,0.9051704909857313,0.8076108907748741,0.973513672049663,0.13979900129481498,1.0,0.5100911870891331,0.8719649484569466,0.6021697305950701,0.593169008900764,-0.3579445294896806,-0.9202185286415022,-0.9147839497637325,0.742007147237129,-0.6500819067853937,0.5786654921685386,0.8743801555876574,0.1195878230303281,0.8901153732388756,0.8443555500704076,0.8256231136291633,0.740472403544269,0.49134894697875275,0.39894484912202693,0.8528031579840181,0.2882929355881978,0.9101857932160254,0.8464982584732801,0.404113663168808,0.25723249910267093,0.6332435828298622,0.6899071038496605
Putamen_Left,-0.12007455889291542,0.30738077766557315,0.6944251197128513,0.5156292255908347,0.8963092824053241,0.5100911870891331,1.0,0.8343177327820328,0.987976349361656,0.8145833422372528,0.0028222008390286603,-0.2799285511125813,-0.19559759882050076,0.9207022019121982,0.13838557175748678,0.683493282240845,0.7580501892779699,0.17341463595263526,0.7219952275903788,0.11113495131529857,0.22969510870522428,-0.06523008469028194,-0.20330564589113007,0.19977673672250548,0.0820586762693219,0.8654107077425095,0.5331038889788501,0.3023708552915766,-0.0913053274952587,0.709145625980519,0.9027195337446948,0.7657909128275933
Putamen_Right,-0.31424457497454816,0.7694814567728115,0.7906024702651326,0.8197140286881992,0.5332976167062753,0.8719649484569466,0.8343177327820328,1.0,0.8988633033098177,0.8033028503106578,-0.13141148540548866,-0.6898387617089965,-0.6210305716887928,0.9162317107950042,-0.3690765255827455,0.5967357039426833,0.8927974048257983,-0.011521212163382649,0.8941120426402966,0.5188047056402898,0.6606495060909985,0.3960106613964482,0.12007122859552875,0.3180958970557827,0.5133487515628534,0.6006698443578997,0.7827396913456174,0.7231168521647084,0.06987658449700271,0.5732642155486599,0.8450836247988173,0.7303036141170766
Pallidum_Left,-0.17894910416152585,0.4394435588584185,0.7383594400250547,0.5818425933529336,0.8447005324233494,0.6021697305950701,0.987976349361656,0.8988633033098177,1.0,0.8571090823550092,-0.04952694689269273,-0.39314391971833434,-0.29537332186878046,0.9254990784152296,0.0017216045848112947,0.6414430088006311,0.8146891816831318,0.07991400905702345,0.7537805120540424,0.2081784613572695,0.3683254570560305,0.004333506718367011,-0.18986969745089674,0.17028151588093804,0.16948559114222894,0.7965557469180617,0.5712754260284993,0.39183421924622736,-0.10822019082272732,0.7117207821486861,0.8854502189015789,0.7417510136678356
Pallidum_Right,0.1872973334747946,0.45094676973108294,0.82312896834062,0.5281056373335584,0.6562866935497735,0.593169008900764,0.8145833422372528,0.8033028503106578,0.8571090823550092,1.0,-0.4505847185579844,-0.5523397580941046,-0.4294224239357109,0.7184556018280618,-0.02267307839492699,0.5691543215963787,0.8386351780625692,-0.005433107448754685,0.6478809452885578,0.28034670388786453,0.5775806458332347,0.01245244144173569,-0.25738704673449486,0.06623306679275758,0.33316889572062064,0.44002312583600733,0.5052728774752134,0.2213748428334234,-0.2975364476308458,0.33194503672680575,0.6374287728260373,0.6086028101974713
